Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7952,8721,8179,8725,9096,8596,8512,8934,7441,9032,7927,8250,9266,8852,
(Action),(Trial),7959,8727,8181,8722,9096,8607,8514,8935,7439,9029,7913,8253,9270,8846,
(Action),(Trial),7963,8730,8194,8722,9096,8605,8516,8924,7441,9030,7885,8255,9271,8839,
(Action),(Trial),7963,8725,8192,8719,9097,8605,8518,8925,7438,9030,7924,8253,9278,8841,
(Action),(Trial),7961,8723,8194,8725,9095,8603,8506,8937,7443,9032,7934,8249,9281,8846,
(Action),(Trial),7937,8720,8157,8742,9114,8597,8515,8934,7439,9008,7975,8217,9266,8863,
(Action),(Trial),7953,8690,8179,8727,9105,8587,8493,8937,7441,9007,8008,8239,9261,8954,
(Action),(Trial),7960,8670,8193,8707,9094,8596,8522,8967,7444,9005,7908,8232,9263,8862,
(Action),(Trial),7962,8655,8188,8726,9099,8584,8514,8966,7444,9018,7945,8261,9262,8890,
(Action),(Trial),7962,8664,8187,8699,9097,8586,8516,8972,7433,9034,7944,8221,9262,8903,
(Action),(Trial),7958,8666,8191,8705,9094,8589,8515,8970,7433,9031,7931,8258,9266,8880,
(Action),(Trial),7960,8698,8191,8762,9096,8586,8508,8975,7434,9032,7934,8249,9265,8850,
(Action),(Trial),7934,8686,8191,8743,9091,8591,8519,8958,7434,9017,8008,8246,9293,8858,
(Action),(Trial),7958,8699,8192,8729,9098,8598,8492,8946,7439,9035,7952,8227,9256,8856,
(Action),(Trial),7953,8694,8191,8747,9094,8596,8519,8973,7437,9031,7938,8227,9261,8848,
(Action),(Trial),7933,8698,8191,8747,9095,8596,8496,8960,7435,9029,7970,8217,9290,8851,
(Action),(Trial),7933,8702,8191,8722,9096,8600,8500,8942,7441,9031,7971,8253,9265,8853,
(Action),(Trial),7937,8702,8191,8728,9096,8606,8517,8949,7421,9030,7928,8257,9268,8852,
(Action),(Trial),7965,8705,8191,8723,9096,8585,8518,8944,7442,9004,7928,8261,9264,8851,
(Action),(Trial),7963,8710,8191,8726,9092,8602,8518,8938,7425,9016,7923,8256,9268,8849,
(Action),(Trial),7949,8718,8191,8728,9095,8607,8514,8941,7441,9034,7906,8253,9285,8847,
(Action),(Trial),7954,8738,8191,8705,9095,8607,8516,8935,7439,9024,7924,8253,9268,8842,
